the impact of covid-19 is risible	0	Argument_against	Those who began by claiming that we faced half a million deaths from the coronavirus in this country have now greatly lowered their estimate.
the impact of covid-19 is risible	1	Argument_against	John Lee, a recently retired professor of pathology and a former NHS consultant pathologist, writes in The Spectator this weekend that by making Covid-19 a notifiable disease, the authorities may have distorted the figures.
the impact of covid-19 is risible	2	Argument_against	‘There is a big difference between Covid-19 causing death, and Covid-19 being found in someone who died of other causes'.
the impact of covid-19 is risible	3	Argument_against	This, of course, explains why such an overwhelming number of Covid deaths, here and abroad, involve so-called ‘underlying conditions’, in fact serious, often fatal, diseases.
the impact of covid-19 is risible	4	NoArgument	Ordinary seasonal flu is a major killer.
the impact of covid-19 is risible	5	NoArgument	He has twice revised his terrifying prophecy, first to fewer than 20,000 and then on Friday to 5,700.
the impact of covid-19 is risible	6	NoArgument	The consequences for medical care are profound.
the impact of covid-19 is risible	7	NoArgument	The WHO estimates that between 290,000 and 650,000 respiratory deaths globally each year are associated with seasonal influenza.
the impact of covid-19 is risible	8	NoArgument	The USA’s Centers for Disease Control and Prevention (CDC) publishes estimates of the number of flu cases annually.
the impact of covid-19 is risible	9	NoArgument	The number of cases has ranged from nine million to 45 million a year, and the number of deaths ranged from 12,000 to 61,000.
the impact of covid-19 is risible	10	NoArgument	Public Health England estimates that on average 17,000 people have died from the flu in England annually between 2014/15 and 2018/19.
the impact of covid-19 is risible	11	NoArgument	The yearly deaths vary widely - with a high of 28,330 in 2014/15.
the impact of covid-19 is risible	12	Argument_for	Distinguished scientists at Oxford University, led by the Professor of theoretical epidemiology, suggest that fewer than one in a thousand of those infected with Covid-19 become ill enough to need hospital treatment.
the impact of covid-19 is risible	13	NoArgument	‘In the current climate, anyone with a positive test for Covid-19 will certainly be known to clinical staff looking after them: if any of these patients dies, staff will have to record the Covid-19 designation on the death certificate – contrary to usual practice for most infections of this kind.
the impact of covid-19 is risible	14	NoArgument	Already services to patients who are in need are reduced, operations cancelled, practices empty, hospital personnel dwindling.
the impact of covid-19 is risible	15	Argument_against	As of March 3, 2020 according to WHO Director-General Tedros Adhanom, worldwide there were a total of 90,893 cases of COVID-19, with 3,110 resulting in death.
the impact of covid-19 is risible	16	Argument_against	Tedros stated, “Globally, about 3.4% of reported COVID-19 cases have died.
the impact of covid-19 is risible	17	NoArgument	By comparison, seasonal flu generally kills far fewer than 1% of those infected.”.
the impact of covid-19 is risible	18	NoArgument	The problem is that no one can say precisely what the true death rate is.
the impact of covid-19 is risible	19	NoArgument	That’s because globally we have not tested all who might have mild cases of the virus and the accuracy of those tests are anything but 100% certain.
the impact of covid-19 is risible	20	NoArgument	But a statement about a death rate more than three times that of seasonal flu is a real panic-maker if true.
the impact of covid-19 is risible	21	NoArgument	The reality is very likely a far lower true mortality according to epidemic experts.
the impact of covid-19 is risible	22	NoArgument	It’s not difficult to see exactly how governments and selected corporations are using the threat of pandemic to lock-down various aspects of society and force the public into accepting various restrictions and medical protocols.
the impact of covid-19 is risible	23	NoArgument	Will the current crisis be used to institute mandatory vaccinations?
the impact of covid-19 is risible	24	NoArgument	What other new control measures will be implemented?
the impact of covid-19 is risible	25	NoArgument	Every day world mainstream news reports more people in more countries diagnosed “positive” for the coronavirus illness, now called COVID-19.
the impact of covid-19 is risible	26	NoArgument	As the reported numbers grow, so does widespread nervousness, often in the form of panic shopping for masks, disinfectants, toilet paper, canned goods.
the impact of covid-19 is risible	27	NoArgument	We are told to accept the testing results as science-based.
the impact of covid-19 is risible	28	NoArgument	While it is next to impossible to get a full picture of what is taking place in China, the center of the novel virus storm, there is a process, being fed by mainstream media accounts and genuine panic in populations unclear what the real dangers are, that has alarming implications for the post-pandemic future.
the impact of covid-19 is risible	29	NoArgument	During the last week of January the Chinese Communist Party (CCP) ordered an unprecedented lock down of an entire city of 11 million, Wuhan, in an attempt to contain a public health situation that had clearly gotten out of control.
